Pos.,Selección,Gr.,Pts.,PJ,PG,PE,PP,GF,GC,Dif
1,Brasil,A,21,9,6,3,0,20,10,10
2,Argentina,B,14,9,3,5,1,15,8,7
3,Uruguay,B,14,9,4,2,3,13,11,2
4,Chile,A,12,9,3,3,3,20,11,9
5,Paraguay,A,14,9,4,2,3,10,10,0
6,Colombia,B,10,9,3,1,5,7,15,-8
7,Ecuador,B,4,4,1,1,2,5,5,0
8,Bolivia,A,4,4,1,1,1,4,8,-4
9,Venezuela,B,3,4,1,0,3,3,11,-8
10,Perú,A,0,4,0,0,4,4,11,-7
