Equipo,Pts,PJ,PG,PE,PP,GF,GC,Dif
Colombia,12,5,4,0,1,6,3,3
Paraguay,10,5,3,1,1,7,4,3
Uruguay,9,5,3,0,2,5,3,2
Chile,7,5,2,1,2,7,6,1
Perú,5,5,1,2,2,6,8,-2
Ecuador,0,5,0,0,5,4,11,-7
