Pos.,Selección,Gr.,Pts.,PJ,PG,PE,PP,GF,GC,Dif,Rend.
1,Brasil,B,22,9,7,1,1,24,7,+17,81.48%
2,Uruguay,A,14,9,4,2,3,10,15,-5,51.85%
3,Argentina,A,19,9,6,1,2,15,9,6,70.37%
4,Ecuador,B,15,9,4,3,2,8,5,3,55.56%
5,Chile,A,9,9,3,0,6,12,19,-7,33.33%
6,Colombia,B,6,9,1,3,5,8,16,-8,22.22%
7,Perú,A,4,4,1,1,2,4,5,-1,50%
8,Paraguay,B,4,4,1,1,2,6,8,–2,33.33%
9,Venezuela,A,3,4,0,3,1,4,6,–2,25%
10,Bolivia,B,1,4,0,1,3,3,7,–4,0%
