Torneo,Pos.,PJ,PG,PE,PP,GF,GC,Dif,Ptos.,Rendimiento
Copa Sudamericana 2005,Primera fase,2,1,0,1,2,2,0,3,50%
Copa Sudamericana 2009,Cuarto finalista,6,3,2,1,7,5,2,11,"66,67%"
Copa Sudamericana 2010,Primera fase,2,0,1,1,2,3,-1,1,25%
Copa Sudamericana 2011,Campeón,12,10,2,0,21,2,19,32,"91,67%"
Copa Sudamericana 2012,Cuarto finalista,4,1,1,2,3,9,-6,4,25%
Copa Sudamericana 2013,Octavo finalista,6,3,1,2,11,9,-2,10,45%
Copa Sudamericana 2017,Primera fase,2,0,0,2,1,4,-3,0,0%
