Bicampeonatos,Bicampeonatos,Bicampeonatos,Bicampeonatos
Campeonatos,Club,Veces,Años campeón
,Universidad de Chile,3,"1964, 1965 – 1994, 1995 – 1999, 2000"
,Colo-Colo,1,"C-1997, 1998"
,Cobreloa,1,"A-2003, C-2003"
,Universidad Católica,1,"C-2016, A-2016"
