Torneo,Pos.,PJ,PG,PE,PP,GF,GC,Dif,Ptos.,Ref.
Copa Sudamericana 2006,Subcampeón,12,8,1,3,28,12,16,25,[36]​
Copa Sudamericana 2007,Octavos de final,6,1,5,0,7,5,2,8,[37]​
Copa Sudamericana 2010,Primera fase,2,1,0,1,3,3,0,3,[38]​
Copa Sudamericana 2013,Segunda fase,4,2,0,2,3,3,0,6,[39]​
Copa Sudamericana 2019,Primera fase,2,1,0,1,1,1,0,3,[40]​
Copa Sudamericana 2022,Octavos de final,2,1,0,1,3,4,-1,3,[41]​
Copa Sudamericana 2023,Play-off de octavos de final,2,1,0,1,3,6,-3,3,
