Tetracampeonatos,Tetracampeonatos,Tetracampeonatos,Tetracampeonatos
Campeonatos,Club,Veces,Años campeón
,Colo-Colo,1,"A-2006, C-2006, A-2007, C-2007"
,Universidad Católica,1,"2018, 2019, 2020, 2021"
