,source,target,info
0,"[-33.4569, -70.6483]","[36.5027, -6.2728]","Tomás Alarcón a Cádiz CF (España), 2021"
1,"[-33.4569, -70.6483]","[42.8371, -2.6882]","Guillermo Maripán a Alavés (España), 2017"
2,"[-33.4569, -70.6483]","[43.5834, 1.434]","Gabriel Suazo a Toulouse (Francia), 2023"
3,"[-33.4569, -70.6483]","[40.64571, 14.823]","Diego Valencia a Salernitana (Italia), 2022"
4,"[-33.4569, -70.6483]","[39.0794, 17.11656]","Luis Rojas a Crotone (Italia), 2020"
5,"[-33.4569, -70.6483]","[56.1168, 8.9517]","Darío Osorio a Midjylland (Dinamarca), 2023"
